Id;R;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
5739;D;De Winter;Milan;8;5,69;5,69;0;0;0;0;0;0;0;0;0;0
322;D;De Vrij;Inter;2;6,25;6,25;0;0;0;0;0;0;0;0;0;0
7012;D;Provstgaard;Lazio;6;6;6;0;0;0;0;0;0;0;0;0;0
6055;D;Thiaw;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
5840;D;Olivera;Napoli;9;5,61;5,5;0;0;0;0;0;0;0;2;0;0
2745;D;Calabresi;Pisa;11;5,86;5,73;0;0;0;0;0;0;0;3;0;0
7020;D;Salah-Eddine;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
6047;D;Ehizibue;Udinese;9;5,61;5,56;0;0;0;0;0;0;0;1;0;0
6894;D;Unai Nunez;Verona;13;5,92;5,62;0;0;0;0;0;0;0;4;0;1
6957;D;Valentini N.;Verona;7;5,93;5,86;0;0;0;0;0;0;0;1;0;0
6639;D;Frese;Verona;14;5,82;5,5;0;0;0;0;0;0;0;5;0;1
7219;D;Bernasconi;Atalanta;6;6,08;6;0;0;0;0;0;0;0;1;0;0
5427;D;Gutierrez;Napoli;5;5,8;5,8;0;0;0;0;0;0;0;0;0;0
7018;D;Nelsson;Verona;16;5,66;5,56;0;0;0;0;0;0;0;3;0;0
388;D;Albiol;Pisa;5;5,9;5,8;0;0;0;0;0;0;0;1;0;0
6444;D;Bonfanti;Pisa;8;5,62;5,56;0;0;0;0;0;0;0;1;0;0
4982;D;Erlic;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
487;D;De Silvestri;Bologna;5;6,1;5,9;0;0;0;0;0;0;0;2;0;0
7014;D;Smolcic I.;Como;11;5,82;5,55;0;0;0;0;0;0;0;6;0;0
6896;D;Van Der Brempt;Como;3;6,33;6,17;0;0;0;0;0;0;0;1;0;0
6231;D;Azzi;Cremonese;0;0;0;0;0;0;0;0;0;0;0;0;0
4904;D;Marì;Fiorentina;10;5,45;5,3;0;0;0;0;0;0;0;3;0;0
6977;D;Otoa;Genoa;5;5,6;5,5;0;0;0;0;0;0;0;1;0;0
6245;D;Vogliacco;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
6802;D;Savona;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
7175;D;Joao Mario;Juventus;4;5,75;5,88;0;0;0;0;0;0;1;1;0;0
2263;D;Lazzari;Lazio;8;5,75;5,62;0;0;0;0;0;0;0;2;0;0
5273;D;Estupinan;Milan;6;5,75;5,67;0;0;0;0;0;0;1;1;1;0
256;D;Juan Jesus;Napoli;9;5,89;5,67;0;0;0;0;0;0;0;4;0;0
5353;D;Balogh;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
252;D;Biraghi;Torino;8;5,62;5,62;0;0;0;0;0;0;0;0;0;0
6533;D;Giannetti L.;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
6211;D;Zemura;Udinese;7;5,71;5,64;0;0;0;0;0;0;0;1;0;0
6537;D;Goglichidze;Udinese;6;5,75;5,58;0;0;0;0;0;0;0;2;0;0
6985;D;Candè;Sassuolo;8;5,69;5,56;0;0;0;0;0;0;0;2;0;0
7211;D;Athekame;Milan;3;5,67;6,33;1;0;0;0;0;0;0;2;0;0
7260;D;Ziolkowski;Roma;5;6;5,8;0;0;0;0;0;0;0;2;0;0
5156;D;Nkounkou;Torino;6;5,75;5,75;0;0;0;0;0;0;1;2;0;0
7268;D;Rodriguez Ju.;Cagliari;3;6;5,83;0;0;0;0;0;0;0;1;0;0
6870;D;Faye;Cremonese;5;5,7;5,6;0;0;0;0;0;0;0;1;0;0
5498;D;Casale;Bologna;4;5,5;5,5;0;0;0;0;0;0;0;0;0;0
2653;D;Lykogiannis;Bologna;5;5,7;5,5;0;0;0;0;0;0;0;2;0;0
5406;D;Di Pardo;Cagliari;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
6944;D;Jack;Como;0;0;0;0;0;0;0;0;0;0;0;0;0
5860;D;Ravanelli;Cremonese;0;0;0;0;0;0;0;0;0;0;0;0;0
1891;D;Ceccherini;Cremonese;4;5,38;5,12;0;0;0;0;0;0;0;0;1;0
5718;D;Viti;Fiorentina;6;5,58;5,33;0;0;0;0;0;0;0;1;1;0
294;D;Rugani;Juventus;4;5,88;5,88;0;0;0;0;0;0;0;0;0;0
327;D;Patric;Lazio;1;6;6;0;0;0;0;0;0;0;0;0;0
7182;D;Ndaba;Lecce;3;5,83;5,83;0;0;0;0;0;0;0;0;0;0
6821;D;Hainaut;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
6965;D;Lovik;Parma;6;5,58;5,58;0;0;0;0;0;0;0;0;0;0
6411;D;Mateus Lusuardi;Pisa;3;5,83;5,67;0;0;0;0;0;0;0;1;0;0
7141;D;Rus;Pisa;0;0;0;0;0;0;0;0;0;0;0;0;0
4495;D;Kumbulla;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
6189;D;Missori;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
